City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
315,Negara,ID,82.31,light rain,-8.3151,114.6025,Villa Maya West Bali
319,Sola,VU,80.92,broken clouds,-13.8833,167.55,Leumerus Bungalows
320,Boa Vista,BR,77.0,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
323,Banda Aceh,ID,84.09,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
330,Bousso,TD,89.4,clear sky,10.4795,16.7117,
331,Port Macquarie,AU,77.0,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
332,Omboue,GA,82.4,overcast clouds,-1.5746,9.2618,Hotel Olako
336,Bambous Virieux,MU,87.8,broken clouds,-20.3428,57.7575,Casa Tia Villa
338,Arani,IN,89.04,clear sky,12.6667,79.2833,KPK LODGE
347,Wote,KE,77.32,overcast clouds,-1.7808,37.6288,Midways Hotel
349,Saint-Pierre,RE,89.6,light rain,-21.3393,55.4781,Lindsey Hôtel
351,Bandarbeyla,SO,77.56,scattered clouds,9.4942,50.8122,JABIR HOTEL
353,Cabimas,VE,76.3,overcast clouds,10.3883,-71.4399,Foresgum jejdjdkdkdkdkdkdkdkdkd
354,Hobyo,SO,80.65,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
355,Kabalo,CD,80.13,overcast clouds,-6.05,26.9167,
357,Biltine,TD,87.35,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
358,Tagusao,PH,81.73,overcast clouds,9.1924,117.8141,Toledo
359,Takoradi,GH,82.09,scattered clouds,4.8845,-1.7554,Raybow International Hotel
366,Tual,ID,82.9,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
368,Ternate,ID,80.96,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
372,Lagos,NG,85.41,broken clouds,6.5833,3.75,
375,Karratha,AU,88.23,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
379,Marawi,PH,82.0,overcast clouds,7.9986,124.2928,Derogongan Residence
382,Port-Gentil,GA,80.6,scattered clouds,-0.7193,8.7815,Fengshui Residence
384,Martapura,ID,78.8,moderate rain,-3.4167,114.85,Montana Hotel Syariah
391,Maragogi,BR,77.34,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
392,Vanimo,PG,80.08,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
397,Mtambile,TZ,84.51,few clouds,-5.3833,39.7,
399,Haikou,CN,75.2,scattered clouds,20.0458,110.3417,Sun City Restaurant
401,La Asuncion,VE,76.01,broken clouds,11.0333,-63.8628,Colinas de Matasiete
406,Morondava,MG,86.5,clear sky,-20.2833,44.2833,La Case Bambou
408,Gold Coast,AU,78.01,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
413,Berbera,SO,78.3,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
414,Portobelo,PA,79.0,overcast clouds,9.55,-79.65,Scuba Portobelo
420,Katobu,ID,82.2,light rain,-4.9408,122.5276,
422,Kasane,BW,76.32,moderate rain,-17.8167,25.15,The Old House
