City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
80,Vardo,NO,70.3705,31.1107,19.4,86,20,14.97,few clouds
81,San Cristobal Cucho,GT,14.9,-91.7833,66.0,70,3,9.6,clear sky
82,Collipulli,CL,-37.95,-72.4333,52.45,89,15,4.29,few clouds
83,Ribeira Grande,PT,38.5167,-28.7,57.87,66,100,30.2,overcast clouds
84,Koslan,RU,63.4564,48.8989,12.34,95,100,9.04,overcast clouds
85,Roura,GF,4.7263,-52.3274,77.0,94,75,9.22,broken clouds
86,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.05,82,49,7.07,scattered clouds
87,Sao Filipe,CV,14.8961,-24.4956,71.76,77,0,10.58,clear sky
88,Yumen,CN,40.2833,97.2,34.32,52,59,26.73,broken clouds
89,Alwar,IN,27.5667,76.6,72.46,24,0,3.11,clear sky
90,Kingston,JM,17.997,-76.7936,78.8,78,20,8.05,few clouds
91,Provideniya,RU,64.3833,-173.3,4.84,92,100,24.09,snow
92,Caravelas,BR,-17.7125,-39.2481,73.76,89,97,3.15,overcast clouds
93,Axim,GH,4.8699,-2.2405,78.46,87,31,7.49,scattered clouds
94,Rokytne,UA,51.2796,27.214,16.66,93,87,6.51,overcast clouds
95,Ponta Do Sol,PT,32.6667,-17.1,55.0,72,0,5.01,clear sky
96,Inuvik,CA,68.3499,-133.7218,-13.0,77,100,6.91,overcast clouds
97,Beatrice,US,40.2681,-96.747,24.8,93,90,5.75,fog
98,Puerto Del Rosario,ES,28.5004,-13.8627,64.4,82,75,14.97,broken clouds
99,Cabo San Lucas,MX,22.8909,-109.9124,62.01,67,20,10.36,few clouds
100,Faanui,PF,-16.4833,-151.75,81.73,75,40,13.4,scattered clouds
101,Celestun,MX,20.8667,-90.4,66.18,72,33,13.98,scattered clouds
102,Nanortalik,GL,60.1432,-45.2371,21.7,91,14,8.21,few clouds
103,Sorland,NO,67.667,12.6934,21.2,93,20,7.67,light snow
104,Leningradskiy,RU,69.3833,178.4167,0.88,87,100,33.93,overcast clouds
105,Hofn,IS,64.2539,-15.2082,32.81,90,100,13.62,overcast clouds
106,Palafrugell,ES,41.9174,3.1631,51.01,93,0,3.44,clear sky
107,Penzance,GB,50.1186,-5.5371,51.8,93,75,21.85,broken clouds
108,Kutum,SD,14.2,24.6667,59.45,32,0,5.26,clear sky
109,Husavik,IS,66.0449,-17.3389,19.4,79,0,3.44,clear sky
110,Kodiak,US,57.79,-152.4072,26.6,50,1,11.5,clear sky
111,Orange Cove,US,36.6244,-119.3137,57.99,50,1,3.44,clear sky
112,Kavieng,PG,-2.5744,150.7967,82.72,79,100,17.11,moderate rain
113,Lebu,CL,-37.6167,-73.65,55.72,89,2,13.2,clear sky
114,Atuona,PF,-9.8,-139.0333,78.6,80,2,14.36,clear sky
115,Tasiilaq,GL,65.6145,-37.6368,17.6,86,90,16.11,snow
116,Saldanha,ZA,-33.0117,17.9442,64.4,59,0,1.14,clear sky
117,Thompson,CA,55.7435,-97.8558,12.2,85,90,2.3,overcast clouds
118,Ziarat,PK,30.3823,67.7282,41.02,59,0,3.29,clear sky
119,Jamestown,US,42.097,-79.2353,21.99,93,90,10.36,light snow
120,Rio Gallegos,AR,-51.6226,-69.2181,53.6,71,0,13.8,clear sky
121,Bambous Virieux,MU,-20.3428,57.7575,86.0,70,40,14.97,light rain
122,La Ronge,CA,55.1001,-105.2842,15.8,86,100,5.75,overcast clouds
123,Cocal,BR,-28.6167,-49.35,69.26,89,0,2.37,clear sky
124,Weinan,CN,34.5036,109.5089,45.0,22,0,6.71,clear sky
125,Panama City,PA,8.9936,-79.5197,78.8,83,90,8.05,overcast clouds
126,Pevek,RU,69.7008,170.3133,4.75,91,100,19.42,light snow
127,Arraial Do Cabo,BR,-22.9661,-42.0278,75.81,86,92,23.98,overcast clouds
128,Goundam,ML,16.4145,-3.6708,63.61,24,82,8.28,broken clouds
129,Angoche,MZ,-16.2325,39.9086,79.27,75,0,9.55,clear sky
130,Avarua,CK,-21.2078,-159.775,78.8,89,20,2.3,few clouds
131,Salalah,OM,17.0151,54.0924,77.0,19,0,13.8,clear sky
132,Eureka,US,40.8021,-124.1637,51.01,93,92,10.04,overcast clouds
