City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
80,Thompson,CA,55.7435,-97.8558,12.2,85,90,2.3,overcast clouds
81,Chapais,CA,49.7834,-74.8492,14.0,92,90,6.91,overcast clouds
82,Qom,IR,34.6401,50.8764,48.02,52,0,0.74,clear sky
83,Port Elizabeth,ZA,-33.918,25.5701,66.2,68,0,14.97,clear sky
84,Torbay,CA,47.6666,-52.7314,28.0,86,90,14.97,overcast clouds
85,Husavik,IS,66.0449,-17.3389,19.4,79,0,3.44,clear sky
86,Butaritari,KI,3.0707,172.7902,81.72,83,67,15.28,light rain
87,The Valley,AI,18.217,-63.0578,78.8,73,20,10.36,few clouds
88,Cherskiy,RU,68.75,161.3,5.05,92,100,6.64,overcast clouds
89,Morro Bay,US,35.3658,-120.8499,50.0,93,28,3.36,scattered clouds
90,Barrow,US,71.2906,-156.7887,-25.6,68,1,12.66,clear sky
91,Sun Prairie,US,43.1836,-89.2137,25.0,80,1,8.05,clear sky
92,Namasuba,UG,0.6894,32.4214,65.01,71,72,1.66,broken clouds
93,Santa Rosa,PH,14.3122,121.1114,86.0,65,20,8.05,few clouds
94,Bethel,US,41.3712,-73.414,30.99,93,90,11.5,light snow
95,Mehran,IR,33.1222,46.1646,39.2,65,0,6.91,clear sky
96,Eastlake,US,41.6539,-81.4504,26.01,86,90,14.97,light snow
97,Estevan,CA,49.1334,-102.9842,15.8,92,1,10.36,clear sky
98,Saskylakh,RU,71.9167,114.0833,-32.69,83,96,7.45,overcast clouds
99,Jinka,ET,5.65,36.65,68.18,35,72,3.18,broken clouds
100,Llanes,ES,43.4198,-4.7549,59.0,65,100,5.5,overcast clouds
101,Port Lincoln,AU,-34.7333,135.8667,66.56,56,25,14.79,scattered clouds
102,Puerto Ayora,EC,-0.7393,-90.3518,78.01,92,16,3.0,few clouds
103,General Roca,AR,-39.0333,-67.5833,57.2,77,0,3.44,clear sky
104,Villazon,BO,-22.0866,-65.5942,53.06,75,91,10.31,overcast clouds
105,New Norfolk,AU,-42.7826,147.0587,70.0,46,60,3.0,broken clouds
106,Vila Velha,BR,-20.3297,-40.2925,75.2,83,20,4.61,few clouds
107,Inhambane,MZ,-23.865,35.3833,82.4,83,40,3.44,scattered clouds
108,Faya,SA,18.3851,42.4509,59.0,71,0,0.56,clear sky
109,Labuhan,ID,-6.8844,112.2051,84.79,74,50,18.34,scattered clouds
110,Talnakh,RU,69.4865,88.3972,-14.26,87,75,7.85,broken clouds
111,Pangai,TO,-19.8,-174.35,78.8,89,90,11.5,light rain
112,Delijan,IR,33.9905,50.6838,44.28,51,0,3.0,clear sky
113,Guerrero Negro,MX,27.9769,-114.0611,62.04,68,100,6.08,overcast clouds
114,Lata,PT,40.1629,-8.3327,55.99,95,99,1.99,overcast clouds
115,Makakilo City,US,21.3469,-158.0858,71.6,83,75,5.75,light rain
116,Longyearbyen,SJ,78.2186,15.6401,17.6,79,90,11.5,light snow
117,Norman Wells,CA,65.282,-126.8329,-18.4,76,90,16.11,snow
118,Qaanaaq,GL,77.484,-69.3632,-6.7,76,79,5.64,broken clouds
119,Nakamura,JP,32.9833,132.9333,50.11,48,1,12.84,clear sky
120,Ribeira Grande,PT,38.5167,-28.7,57.87,66,100,30.2,overcast clouds
121,Geraldton,AU,-28.7667,114.6,75.2,73,90,19.57,light rain
122,Pyapon,MM,16.2833,95.6833,87.87,28,0,7.31,clear sky
123,Bamnet Narong,TH,15.4992,101.6897,88.92,35,20,9.6,few clouds
124,Springbok,ZA,-29.6643,17.8865,64.49,59,0,3.4,clear sky
125,Bose,IT,45.4612,8.0137,37.0,95,44,0.31,scattered clouds
126,Clovis,US,36.8252,-119.7029,60.8,36,1,4.61,clear sky
127,Marshall,US,34.3834,-86.3333,35.01,64,40,16.11,scattered clouds
128,Mar Del Plata,AR,-38.0023,-57.5575,66.99,82,75,10.36,broken clouds
129,College,US,64.8569,-147.8028,-13.0,69,1,6.91,clear sky
130,Ilulissat,GL,69.2167,-51.1,3.2,85,90,19.57,snow
131,Kaitangata,NZ,-46.2817,169.8464,66.0,82,34,11.01,scattered clouds
132,Leningradskiy,RU,69.3833,178.4167,0.88,87,100,33.93,overcast clouds
133,Najran,SA,17.4924,44.1277,57.2,51,0,1.3,clear sky
134,Hermanus,ZA,-34.4187,19.2345,62.08,75,0,13.82,clear sky
135,Adrar,MR,20.5022,-10.0711,63.52,25,71,6.78,broken clouds
136,Ati,TD,13.2154,18.3353,68.47,22,0,8.05,clear sky
137,Piney Green,US,34.716,-77.3202,35.6,80,75,10.36,broken clouds
138,Gazanjyk,TM,39.2446,55.5154,47.01,69,0,9.73,clear sky
139,Antofagasta,CL,-23.65,-70.4,66.2,72,90,4.61,overcast clouds
140,Saint-Pierre,RE,-21.3393,55.4781,87.01,66,75,3.44,broken clouds
141,Komsomolskiy,UZ,40.4272,71.7189,46.4,53,100,4.61,overcast clouds
142,Dingle,PH,10.9995,122.6711,82.24,79,100,13.29,overcast clouds
143,Vao,NC,-22.6667,167.4833,75.76,82,100,28.05,light rain
144,Westport,US,41.1415,-73.3579,33.01,97,100,5.01,moderate rain
145,Bathsheba,BB,13.2167,-59.5167,77.0,69,20,24.16,few clouds
146,Madimba,TZ,-10.4,40.3333,77.43,80,17,4.09,few clouds
147,Viedma,AR,-40.8135,-62.9967,57.0,82,2,8.57,clear sky
148,Bagn,NO,60.8225,9.5521,5.0,87,0,3.8,clear sky
149,Pilot Butte,CA,50.4668,-104.4178,19.4,86,94,17.27,overcast clouds
150,Hithadhoo,MV,-0.6,73.0833,82.11,72,30,2.28,scattered clouds
151,Biak,ID,-0.9131,122.8766,85.53,61,100,2.06,overcast clouds
152,Kiliya,UA,45.4552,29.2637,32.0,100,90,4.61,mist
153,Mindelo,CV,16.8901,-24.9804,68.0,77,20,27.63,few clouds
154,Antalaha,MG,-14.9003,50.2788,81.54,72,65,7.02,broken clouds
155,Nhulunbuy,AU,-12.2333,136.7667,87.8,70,40,9.22,scattered clouds
156,Mosquera,CO,4.7059,-74.2302,51.8,76,40,8.05,scattered clouds
157,Avarua,CK,-21.2078,-159.775,78.8,89,20,2.3,few clouds
158,Kununurra,AU,-15.7667,128.7333,84.2,84,75,16.11,broken clouds
