City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ingham,US,2021-02-02 05:24:16,42.6,-84.3833,19.4,93,1,9.48
68,Russell,US,2021-02-02 05:24:16,32.3502,-85.1999,37.4,56,75,12.66
69,Srednekolymsk,RU,2021-02-02 05:24:16,67.45,153.6833,-11.87,89,100,15.55
70,San Policarpo,PH,2021-02-02 05:24:16,12.1791,125.5072,81.01,83,100,12.77
71,Narsaq,GL,2021-02-02 05:24:16,60.9167,-46.05,26.6,74,75,2.26
72,Ust-Nera,RU,2021-02-02 05:24:17,64.5667,143.2,-21.87,77,100,4.74
73,Bluff,NZ,2021-02-02 05:24:17,-46.6,168.3333,64.83,68,75,6.4
74,Alghero,IT,2021-02-02 05:24:17,40.5589,8.3181,57.2,77,0,9.22
75,Bethel,US,2021-02-02 05:24:17,41.3712,-73.414,30.99,93,90,11.5
76,Khatanga,RU,2021-02-02 05:24:17,71.9667,102.5,-31.68,83,0,10.25
77,Virden,US,2021-02-02 05:24:18,39.5009,-89.7679,30.99,89,100,4.0
78,Vallenar,CL,2021-02-02 05:24:18,-28.5708,-70.7581,60.82,70,35,2.33
79,Chuy,UY,2021-02-02 05:24:18,-33.6971,-53.4616,69.66,94,2,4.27
80,Inyonga,TZ,2021-02-02 05:24:18,-6.7167,32.0667,64.27,96,100,4.63
81,San Cristobal,VE,2021-02-02 05:24:18,7.7669,-72.225,66.33,76,83,2.42
82,Pevek,RU,2021-02-02 05:24:19,69.7008,170.3133,4.75,91,100,19.42
83,La Ronge,CA,2021-02-02 05:24:19,55.1001,-105.2842,15.8,86,100,5.75
84,Mabaruma,GY,2021-02-02 05:24:19,8.2,-59.7833,70.18,95,88,3.2
85,Shalya,RU,2021-02-02 05:24:19,57.2471,58.7298,15.73,96,100,8.25
86,Bambous Virieux,MU,2021-02-02 05:24:19,-20.3428,57.7575,86.0,70,40,14.97
87,Hajdunanas,HU,2021-02-02 05:24:19,47.85,21.4333,32.0,100,90,1.5
88,Caravelas,BR,2021-02-02 05:24:19,-17.7125,-39.2481,73.76,89,97,3.15
89,Montevideo,UY,2021-02-02 05:21:44,-34.8335,-56.1674,68.0,94,75,4.61
90,Balkanabat,TM,2021-02-02 05:24:20,39.5108,54.3671,49.73,60,0,10.78
91,Buta,CD,2021-02-02 05:24:20,2.7858,24.73,66.83,73,66,1.63
92,Castro,BR,2021-02-02 05:24:20,-24.7911,-50.0119,63.68,95,97,2.73
93,Maniitsoq,GL,2021-02-02 05:24:20,65.4167,-52.9,0.07,83,40,14.92
94,Zaria,NG,2021-02-02 05:24:20,11.1113,7.7227,65.14,26,28,6.93
95,Poum,NC,2021-02-02 05:24:20,-20.2333,164.0167,75.09,89,100,37.42
96,Qaanaaq,GL,2021-02-02 05:24:21,77.484,-69.3632,-6.7,76,79,5.64
97,Port Elizabeth,ZA,2021-02-02 05:24:21,-33.918,25.5701,66.2,68,0,14.97
98,Victoria,HK,2021-02-02 05:22:11,22.2855,114.1577,81.0,60,20,8.05
99,Bengkulu,ID,2021-02-02 05:22:42,-3.8004,102.2655,85.59,64,31,9.28
100,Azanka,RU,2021-02-02 05:24:21,58.0401,64.7893,16.25,95,25,9.66
101,Poso,ID,2021-02-02 05:24:21,-1.3959,120.7524,85.82,64,83,6.53
102,Lesnikovo,RU,2021-02-02 05:24:21,55.2822,65.3175,19.54,96,100,7.54
103,Lompoc,US,2021-02-02 05:24:22,34.6391,-120.4579,46.99,93,1,4.61
104,Vardo,NO,2021-02-02 05:24:22,70.3705,31.1107,19.4,86,20,14.97
105,Saint George,US,2021-02-02 05:20:55,37.1041,-113.5841,51.8,43,90,8.05
106,Saint-Philippe,RE,2021-02-02 05:24:22,-21.3585,55.7679,87.01,66,75,3.44
107,Cherskiy,RU,2021-02-02 05:24:22,68.75,161.3,5.05,92,100,6.64
108,Asau,RO,2021-02-02 05:24:22,46.4333,26.4,30.0,70,60,1.83
109,Nikolskoye,RU,2021-02-02 05:24:22,59.7035,30.7861,26.6,86,75,4.47
110,Deputatskiy,RU,2021-02-02 05:24:23,69.3,139.9,-26.32,87,100,6.67
111,Kieta,PG,2021-02-02 05:24:23,-6.2167,155.6333,81.95,77,100,8.37
112,Avarua,CK,2021-02-02 05:24:05,-21.2078,-159.775,78.8,89,20,2.3
